season,event_code,league,zone_id,zone_name,group_name,group_order,college_name,college_logo,team_name,w_d_l,points,opponent_points,avg_base_hp_diff,avg_outpost_hp_diff,avg_team_damage,metrics_json,rank
2024,2024RMUC,RMUC,498,东部赛区,A组,14,东北大学秦皇岛分校,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/84e03632-7d92-498b-9150-24d51a28a8d4,征龙凌沧,0/0/2,0,2,-801,-517,2076,"{""对手分"": 2, ""局均全队总伤害血量"": 2076, ""局均总前哨站净胜血量"": -517, ""局均总基地净胜血量"": -801, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,15,中国石油大学（北京）,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/536194b1-d052-480f-b5b9-fbd2ef9d6dc8,SPR,0/0/2,0,0,-847,0,2621,"{""对手分"": 0, ""局均全队总伤害血量"": 2621, ""局均总前哨站净胜血量"": 0, ""局均总基地净胜血量"": -847, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,16,合肥工业大学(宣城校区),https://rm-static.djicdn.com/games-backend/6b928c7e-4ab6-48ab-8a5a-39836fd182c7,WDR,0/0/2,0,-1,-1362,-643,1272,"{""对手分"": -1, ""局均全队总伤害血量"": 1272, ""局均总前哨站净胜血量"": -643, ""局均总基地净胜血量"": -1362, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,1,哈尔滨工业大学（威海）,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/496f97c0-f329-4457-ae1e-1476c467ff94,HERO,3/0/0,3,3,1703,187,6065,"{""对手分"": 3, ""局均全队总伤害血量"": 6065, ""局均总前哨站净胜血量"": 187, ""局均总基地净胜血量"": 1703, ""积分"": 3, ""胜/平/负"": ""3/0/0""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,2,广东工业大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/ed0ca377-9bbc-4d6d-b5d1-8dd2d09bdbaf,DynamicX,3/0/0,3,-3,1504,375,6347,"{""对手分"": -3, ""局均全队总伤害血量"": 6347, ""局均总前哨站净胜血量"": 375, ""局均总基地净胜血量"": 1504, ""积分"": 3, ""胜/平/负"": ""3/0/0""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,3,吉林大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/422493a0-1f3c-4f00-8c95-7ad1f9e1df2c,TARS_Go,2/0/1,2,4,2132,44,6488,"{""对手分"": 4, ""局均全队总伤害血量"": 6488, ""局均总前哨站净胜血量"": 44, ""局均总基地净胜血量"": 2132, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,4,东南大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525665086212-logo_yellow_800x800.png,3SE,2/0/1,2,3,1210,0,4998,"{""对手分"": 3, ""局均全队总伤害血量"": 4998, ""局均总前哨站净胜血量"": 0, ""局均总基地净胜血量"": 1210, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,5,上海交通大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525660725241-logo_red_800x800.png,交龙,2/0/1,2,3,820,132,6237,"{""对手分"": 3, ""局均全队总伤害血量"": 6237, ""局均总前哨站净胜血量"": 132, ""局均总基地净胜血量"": 820, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,6,中国科学技术大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/c3c27ffa-22a3-438d-b9c6-3e46caff042c,RoboWalker,2/0/1,2,1,-166,151,4425,"{""对手分"": 1, ""局均全队总伤害血量"": 4425, ""局均总前哨站净胜血量"": 151, ""局均总基地净胜血量"": -166, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,7,杭州电子科技大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e8350b30-12fc-4a44-a049-638d5f14d72b,PHOENIX,2/0/1,2,-2,-887,0,4130,"{""对手分"": -2, ""局均全队总伤害血量"": 4130, ""局均总前哨站净胜血量"": 0, ""局均总基地净胜血量"": -887, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
