season,event_code,league,zone_name,group_name,team_id,team_name,college_name,player_rank,player_score
2024,2024RMUC,RMUC,东部赛区,A,114,TRoMaC,太原理工大学,2,3
2024,2024RMUC,RMUC,东部赛区,A,739,齐奇,山东理工大学,11,1
2024,2024RMUC,RMUC,东部赛区,A,195,Hello World,浙江大学,1,3
2024,2024RMUC,RMUC,东部赛区,A,755,Adam,齐鲁工业大学,7,2
2024,2024RMUC,RMUC,东部赛区,A,782,木鸢Birdiebot,上海工程技术大学,6,2
2024,2024RMUC,RMUC,东部赛区,A,165,北洋机甲,天津大学,5,2
2024,2024RMUC,RMUC,东部赛区,A,183,Born of Fire,南京航空航天大学金城学院,4,2
2024,2024RMUC,RMUC,东部赛区,A,144,Horizon,华北理工大学,13,0
2024,2024RMUC,RMUC,东部赛区,A,141,SuperPower,同济大学,9,1
2024,2024RMUC,RMUC,东部赛区,A,746,SPR,中国石油大学（北京）,15,0
2024,2024RMUC,RMUC,东部赛区,A,688,征龙凌沧,东北大学秦皇岛分校,14,0
2024,2024RMUC,RMUC,东部赛区,A,672,PIE,首都师范大学,3,2
2024,2024RMUC,RMUC,东部赛区,B,148,交龙,上海交通大学,5,2
2024,2024RMUC,RMUC,东部赛区,B,116,WMJ,西北工业大学,11,1
2024,2024RMUC,RMUC,东部赛区,B,453,DynamicX,广东工业大学,2,3
2024,2024RMUC,RMUC,东部赛区,B,245,3SE,东南大学,4,2
2024,2024RMUC,RMUC,东部赛区,B,738,HERO,哈尔滨工业大学（威海）,1,3
2024,2024RMUC,RMUC,东部赛区,B,50,Ambition,沈阳理工大学,15,0
2024,2024RMUC,RMUC,东部赛区,B,28,CUBOT,中国矿业大学,9,1
2024,2024RMUC,RMUC,东部赛区,B,676,Climber,常州大学,16,0
2024,2024RMUC,RMUC,东部赛区,B,666,TARS_Go,吉林大学,3,2
2024,2024RMUC,RMUC,东部赛区,B,2780,起源,华东理工大学,8,2
2024,2024RMUC,RMUC,东部赛区,B,682,RoboWalker,中国科学技术大学,6,2
2024,2024RMUC,RMUC,东部赛区,B,679,606,中北大学,12,1
2024,2024RMUC,RMUC,东部赛区,B,786,PHOENIX,杭州电子科技大学,7,2
2024,2024RMUC,RMUC,中部赛区,A,159,ARTINX,南方科技大学,2,3
2024,2024RMUC,RMUC,中部赛区,A,53,狼牙,华中科技大学,5,2
2024,2024RMUC,RMUC,中部赛区,A,95,Passion,南昌大学,1,3
2024,2024RMUC,RMUC,中部赛区,A,703,苍穹,合肥工业大学,9,1
2024,2024RMUC,RMUC,中部赛区,A,8,创梦之翼,哈尔滨工程大学,6,2
2024,2024RMUC,RMUC,中部赛区,A,2188,GIRT,桂林信息科技学院,4,2
2024,2024RMUC,RMUC,中部赛区,A,737,未来,青岛大学,11,1
2024,2024RMUC,RMUC,中部赛区,A,160,Actor&Thinker,河北科技大学,13,0
2024,2024RMUC,RMUC,中部赛区,A,29,火线,太原工业学院,8,2
2024,2024RMUC,RMUC,中部赛区,A,132,追梦,北京理工大学,3,2
2024,2024RMUC,RMUC,中部赛区,A,57,SmartRobot,山东科技大学,10,1
2024,2024RMUC,RMUC,中部赛区,A,700,VGD,长安大学,15,0
2024,2024RMUC,RMUC,中部赛区,B,65,I Hiter,哈尔滨工业大学,3,2
2024,2024RMUC,RMUC,中部赛区,B,2774,苍侠,福建理工大学,15,0
2024,2024RMUC,RMUC,中部赛区,B,179,华南虎,华南理工大学,2,3
2024,2024RMUC,RMUC,中部赛区,B,145,TCR,厦门大学嘉庚学院,10,1
2024,2024RMUC,RMUC,中部赛区,B,240,Nautilus,武汉工程大学,9,1
2024,2024RMUC,RMUC,中部赛区,B,164,风暴,华北科技学院,4,2
2024,2024RMUC,RMUC,中部赛区,B,4,Alliance,南京理工大学,5,2
2024,2024RMUC,RMUC,中部赛区,B,92,NewMaker,太原科技大学,6,2
2024,2024RMUC,RMUC,中部赛区,B,76,RPS,中国石油大学（华东）,8,2
2024,2024RMUC,RMUC,中部赛区,B,47,ACE,东莞理工学院,7,2
2024,2024RMUC,RMUC,中部赛区,B,1578,火锅,四川大学,13,0
2024,2024RMUC,RMUC,中部赛区,B,71,IRobot,西安电子科技大学,1,3
2024,2024RMUC,RMUC,中部赛区,B,60,雷霆,内蒙古科技大学,16,0
2024,2024RMUC,RMUC,中部赛区,B,841,Ultra,成都大学,14,0
2024,2024RMUC,RMUC,中部赛区,邀请赛-C,1498,崇实,武汉科技大学,3,1
2024,2024RMUC,RMUC,南部赛区,A,698,笃行,西安交通大学,2,3
2024,2024RMUC,RMUC,南部赛区,A,840,Helios,西南交通大学,11,1
2024,2024RMUC,RMUC,南部赛区,A,26,RobotPilots,深圳大学,1,3
2024,2024RMUC,RMUC,南部赛区,A,32,MA,南华大学,12,1
2024,2024RMUC,RMUC,南部赛区,A,124,Taurus,华南农业大学,7,2
2024,2024RMUC,RMUC,南部赛区,A,38,Evolution,桂林电子科技大学,6,2
2024,2024RMUC,RMUC,南部赛区,A,151,FYT,中南大学,5,2
2024,2024RMUC,RMUC,南部赛区,A,96,IMCA,五邑大学,3,2
2024,2024RMUC,RMUC,南部赛区,A,178,群星,桂林理工大学,15,0
2024,2024RMUC,RMUC,南部赛区,B,239,凌BUG,大连理工大学,4,2
2024,2024RMUC,RMUC,南部赛区,B,146,Pikachu,福建师范大学,14,0
2024,2024RMUC,RMUC,南部赛区,B,830,RoboBraver,电子科技大学中山学院,2,3
2024,2024RMUC,RMUC,南部赛区,B,1495,南工骁鹰,哈尔滨工业大学（深圳）,1,3
2024,2024RMUC,RMUC,南部赛区,B,207,RCS,厦门大学,10,1
2024,2024RMUC,RMUC,南部赛区,B,17,TDT,东北大学,5,2
2024,2024RMUC,RMUC,南部赛区,B,1513,野狼,广州城市理工学院,7,2
2024,2024RMUC,RMUC,南部赛区,B,1501,星辰,北京信息科技大学,11,1
2024,2024RMUC,RMUC,南部赛区,B,2815,军临,国防科技大学,3,2
2024,2024RMUC,RMUC,南部赛区,B,198,PIONEER,华南师范大学,9,1
2024,2024RMUC,RMUC,南部赛区,B,726,悍匠,深圳技术大学,13,0
2024,2024RMUC,RMUC,南部赛区,B,170,PFA,厦门理工学院,12,1
2024,2024RMUC,RMUC,南部赛区,B,34,Artisans,安徽信息工程学院,16,0
2024,2024RMUC,RMUC,南部赛区,B,2189,逐曦,湘潭大学,15,0
2024,2024RMUC,RMUC,南部赛区,邀请赛-C,18,奇点,仲恺农业工程学院,1,2
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,Q,133,ENTERPRIZE,香港科技大学,1,6
