season,event_code,league,rank,school_chinese,school_english,score
2025,2025RMUC,RMUC,31,吉林大学,Jilin University,12.85
2025,2025RMUC,RMUC,32,哈尔滨工程大学,Harbin Engineering University,12.78
2025,2025RMUC,RMUC,33,西交利物浦大学,Xi'an Jiaotong-Liverpool University,12.46
2025,2025RMUC,RMUC,34,大连理工大学,Dalian University of Technology,12.1
2025,2025RMUC,RMUC,35,国防科技大学,National University of Defense Technology,12
2025,2025RMUC,RMUC,36,山东科技大学,Shandong University of Science and Technology,11.98
2025,2025RMUC,RMUC,38,南京理工大学,Nanjing University of Science and Technology,11.84
2025,2025RMUC,RMUC,39,华南师范大学,South China Normal University,11.36
2025,2025RMUC,RMUC,40,武汉工程大学,Wuhan Institute of Technology,11.34
2025,2025RMUC,RMUC,41,南京航空航天大学金城学院,Nanhang Jincheng College,10.88
2025,2025RMUC,RMUC,42,齐鲁工业大学,Qilu University of Technology,10.7125
2025,2025RMUC,RMUC,43,广州城市理工学院,Guangzhou City Institute of Technology,10.56
2025,2025RMUC,RMUC,44,中国矿业大学,China University of Mining and Technology,10.4
2025,2025RMUC,RMUC,44,华北科技学院,North China Institute of Science & Technology,10.4
2025,2025RMUC,RMUC,46,天津大学,Tianjin University,10.09
2025,2025RMUC,RMUC,48,杭州电子科技大学,Hangzhou Dianzi University,9.44
2025,2025RMUC,RMUC,52,中国科学技术大学,University of Science and Technology of China,8.9387
2025,2025RMUC,RMUC,57,西南交通大学,Southwest Jiaotong University,8.64
2025,2025RMUC,RMUC,58,中国石油大学（北京）,China University of Petroleum(Beijing),8.55
2025,2025RMUC,RMUC,60,西北工业大学,Northwestern Polytechnical University,8.32
2025,2025RMUC,RMUC,61,长安大学,Chang'an University,8.13
2025,2025RMUC,RMUC,62,厦门理工学院,Xiamen University of Technology,8
2025,2025RMUC,RMUC,62,合肥工业大学,Hefei University of Technology,8
2025,2025RMUC,RMUC,64,中北大学,North University of China,7.9
2025,2025RMUC,RMUC,67,北京信息科技大学,Beijing Information Science and Technology University,7.8432
2025,2025RMUC,RMUC,68,华北理工大学,North China University of Technology,7.75
2025,2025RMUC,RMUC,68,同济大学,Tongji University,7.75
2025,2025RMUC,RMUC,68,南华大学,Nanhua University,7.75
2025,2025RMUC,RMUC,68,厦门大学,Xiamen University,7.75
2025,2025RMUC,RMUC,68,山东理工大学,Shandong University of Technology,7.75
2025,2025RMUC,RMUC,73,四川大学,Sichuan University,7.65
2025,2025RMUC,RMUC,73,常州大学,Changzhou University,7.65
2025,2025RMUC,RMUC,73,东北大学秦皇岛分校,Northeastern University at Qinhuangdao,7.65
2025,2025RMUC,RMUC,73,深圳技术大学,Shenzhen University of Technology,7.65
2025,2025RMUC,RMUC,79,安徽信息工程学院,Anhui Institute of Information Engineering,7.6
2025,2025RMUC,RMUC,79,福建理工大学,Fujian University of Technology,7.6
2025,2025RMUC,RMUC,82,福建师范大学,Fujian Normal University,7.5
2025,2025RMUC,RMUC,83,东莞理工学院,Dongguan University of Technology,7.1
2025,2025RMUC,RMUC,86,成都大学,Chengdu University,6.8704
2025,2025RMUC,RMUC,88,桂林理工大学,Guilin University of Technology,6.75
2025,2025RMUC,RMUC,89,青岛大学,Qingdao University,6.7214
2025,2025RMUC,RMUC,90,沈阳理工大学,Shenyang Ligong University,6.63
2025,2025RMUC,RMUC,96,湘潭大学,Xiangtan University,6.3013
2025,2025RMUC,RMUC,98,厦门大学嘉庚学院,Jiageng College of Xiamen University,6.25
2025,2025RMUC,RMUC,99,河北科技大学,Hebei University of Science and Technology,6.15
2025,2025RMUC,RMUC,100,内蒙古科技大学,Inner Mongolia University of Science and Technology,6.085
2025,2025RMUC,RMUC,112,成都信息工程大学,Chengdu University of Information Technology,5.3165
2025,2025RMUC,RMUC,114,南京理工大学江阴校区,Nanjing University of Science and Technology Jiangyin Campus,5.2678
2025,2025RMUC,RMUC,115,武汉科技大学,Wuhan University of Science and Technology,5.2477
2025,2025RMUC,RMUC,122,华东理工大学,East China University of Science and Technology,4.8
2025,2025RMUC,RMUC,127,辽宁石油化工大学,Liaoning Shihua University,4.6924
2025,2025RMUC,RMUC,138,广州航海学院,Guangzhou Maritime University,4.5275
2025,2025RMUC,RMUC,150,仲恺农业工程学院,Zhongkai University of Agriculture and Engineering,4.27
2025,2025RMUC,RMUC,154,重庆理工大学,Chongqing University of Technology,4.17
2025,2025RMUC,RMUC,155,北方工业大学,North China University of Science and Technology,4.025
2025,2025RMUC,RMUC,161,江苏大学,Jiangsu University,4
2025,2025RMUC,RMUC,162,上海大学,Shanghai University,3.9
2025,2025RMUC,RMUC,178,长沙理工大学,Changsha University of Science and Technology,3.55
2025,2025RMUC,RMUC,204,广西大学,Guangxi University,2.375
2025,2025RMUC,RMUC,204,武汉大学,Wuhan University,2.375
2025,2025RMUC,RMUC,204,香港科技大学（广州）,The Hong Kong University of Science and Technology (Guangzhou),2.375
2025,2025RMUC,RMUC,204,华南师范大学（佛山校区）,South China Normal University Foshan Campus,2.375
