season,event_code,league,zone_name,stage_bucket,group_name,match_id,match_type,order_number,plan_game_count,plan_started_at,match_date,result,red_team_id,red_team_name,red_college_name,red_side_score,red_side_win_game_count,blue_team_id,blue_team_name,blue_college_name,blue_side_score,blue_side_win_game_count,winner_team_id,winner_team_name,winner_college_name,winner_side
2025,2025RMUC,RMUC,南部赛区,group,A,25696,GROUP,1,3,2025-05-13T00:40:00Z,2025-05-13,RED,179,华南虎,华南理工大学,1,2,178,群星,桂林理工大学,0,0,179,华南虎,华南理工大学,red
2025,2025RMUC,RMUC,南部赛区,group,A,25697,GROUP,2,3,2025-05-13T01:15:00Z,2025-05-13,BLUE,726,悍匠,深圳技术大学,0,0,1513,野狼,广州城市理工学院,1,2,1513,野狼,广州城市理工学院,blue
2025,2025RMUC,RMUC,南部赛区,group,A,25698,GROUP,3,3,2025-05-13T01:50:00Z,2025-05-13,BLUE,18,奇点,仲恺农业工程学院,0,1,76,RPS,中国石油大学（华东）,1,2,76,RPS,中国石油大学（华东）,blue
2025,2025RMUC,RMUC,南部赛区,group,A,25700,GROUP,5,3,2025-05-13T03:00:00Z,2025-05-13,RED,38,Evolution,桂林电子科技大学,1,2,145,TCR,厦门大学嘉庚学院,0,0,38,Evolution,桂林电子科技大学,red
2025,2025RMUC,RMUC,南部赛区,group,A,25701,GROUP,6,3,2025-05-13T03:35:00Z,2025-05-13,RED,42,DreamTeam,北方工业大学,1,2,1501,星辰,北京信息科技大学,0,1,42,DreamTeam,北方工业大学,red
2025,2025RMUC,RMUC,南部赛区,group,A,25712,GROUP,17,3,2025-05-13T12:00:00Z,2025-05-13,BLUE,2188,GIRT,桂林信息科技学院,0,0,76,RPS,中国石油大学（华东）,1,2,76,RPS,中国石油大学（华东）,blue
2025,2025RMUC,RMUC,南部赛区,group,A,25713,GROUP,18,3,2025-05-13T12:35:00Z,2025-05-13,RED,179,华南虎,华南理工大学,1,2,42,DreamTeam,北方工业大学,0,0,179,华南虎,华南理工大学,red
2025,2025RMUC,RMUC,南部赛区,group,A,25714,GROUP,19,3,2025-05-13T13:10:00Z,2025-05-13,RED,453,DynamicX,广东工业大学,1,2,1513,野狼,广州城市理工学院,0,0,453,DynamicX,广东工业大学,red
2025,2025RMUC,RMUC,南部赛区,group,A,25715,GROUP,20,3,2025-05-13T13:45:00Z,2025-05-13,RED,164,风暴,华北科技学院,1,2,38,Evolution,桂林电子科技大学,0,0,164,风暴,华北科技学院,red
2025,2025RMUC,RMUC,南部赛区,group,A,25718,GROUP,23,3,2025-05-14T01:40:00Z,2025-05-14,RED,178,群星,桂林理工大学,1,2,1501,星辰,北京信息科技大学,0,0,178,群星,桂林理工大学,red
2025,2025RMUC,RMUC,南部赛区,group,A,25728,GROUP,33,3,2025-05-14T08:30:00Z,2025-05-14,RED,453,DynamicX,广东工业大学,1,2,179,华南虎,华南理工大学,0,0,453,DynamicX,广东工业大学,red
2025,2025RMUC,RMUC,南部赛区,group,A,25729,GROUP,34,3,2025-05-14T09:05:00Z,2025-05-14,BLUE,164,风暴,华北科技学院,0,0,76,RPS,中国石油大学（华东）,1,2,76,RPS,中国石油大学（华东）,blue
2025,2025RMUC,RMUC,南部赛区,group,A,25730,GROUP,35,3,2025-05-14T09:40:00Z,2025-05-14,BLUE,38,Evolution,桂林电子科技大学,0,0,2188,GIRT,桂林信息科技学院,1,2,2188,GIRT,桂林信息科技学院,blue
2025,2025RMUC,RMUC,南部赛区,group,A,25731,GROUP,36,3,2025-05-14T10:15:00Z,2025-05-14,BLUE,178,群星,桂林理工大学,0,0,42,DreamTeam,北方工业大学,1,2,42,DreamTeam,北方工业大学,blue
2025,2025RMUC,RMUC,南部赛区,group,A,25735,GROUP,40,3,2025-05-14T13:35:00Z,2025-05-14,BLUE,1501,星辰,北京信息科技大学,0,0,726,悍匠,深圳技术大学,1,2,726,悍匠,深圳技术大学,blue
2025,2025RMUC,RMUC,南部赛区,group,A,25744,GROUP,49,3,2025-05-15T06:10:00Z,2025-05-15,RED,179,华南虎,华南理工大学,1,2,2188,GIRT,桂林信息科技学院,0,0,179,华南虎,华南理工大学,red
