season,event_code,league,zone_name,team_id,team_name,college_name,robot_type,robot_number,eaSmallHitRate,eagHurt,eaKDA,eagKdaScore,matchLargeEnergyActRoundsAvg,gkDamage,gKillCount,eaBigHitRate,eaSnipeCnt,etDartOutpostCnt,etDartFixedCnt,etDartRDFixCnt,etDartRDMoveCnt,eaRadarMarkerTime,eaRadarDebuffDmg,eaExchangeEcon,avgMineTime,avgMineDiff,avgShootNum
2025,2025RMUC,RMUC,南部赛区,47,ACE,东莞理工学院,Guard,7,19.8,465.4,0.3/0.4/0.7,0.9,,307.1,0.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,47,ACE,东莞理工学院,Dart,10,0.0,0.0,0.0/0.0/0.0,0.0,,62.5,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,47,ACE,东莞理工学院,Radar,11,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,285.7,57.9,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,2774,苍侠,福建理工大学,Infantry,3,16.4,394.4,0.6/0.9/0.5,0.8,0.0,28.2,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,2774,苍侠,福建理工大学,Hero,1,27.1,0.0,0.0/0.8181818181818182/0.18181818181818182,0.2,,2203.6,0.0,27.1,3.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,2774,苍侠,福建理工大学,Sapper,2,0.0,0.0,0.0/0.45454545454545453/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,263.73,41.5,2.7,0.0
2025,2025RMUC,RMUC,南部赛区,2774,苍侠,福建理工大学,Airplane,6,5.4,195.2,0.18181818181818182/0.09090909090909091/0.2727272727272727,0.5,,78.2,0.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,361
2025,2025RMUC,RMUC,南部赛区,2774,苍侠,福建理工大学,Guard,7,14.4,406.3,0.5454545454545454/0.7272727272727273/0.45454545454545453,0.9,,152.7,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,2774,苍侠,福建理工大学,Dart,10,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,2774,苍侠,福建理工大学,Radar,11,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,815.0,153.3,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,159,ARTINX,南方科技大学,Infantry,3,21.6,497.1,1.1/1.5/0.6,1.0,0.0,22.1,0.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,159,ARTINX,南方科技大学,Hero,1,33.3,0.0,0.1/0.75/0.05,0.1,,3584.3,0.1,33.3,5.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,159,ARTINX,南方科技大学,Sapper,2,0.0,0.0,0.0/0.55/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,699.9,8.4,2.6,0.0
2025,2025RMUC,RMUC,南部赛区,159,ARTINX,南方科技大学,Airplane,6,3.4,363.4,0.45/0.05/0.8,1.3,,165.1,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,783
2025,2025RMUC,RMUC,南部赛区,159,ARTINX,南方科技大学,Guard,7,4.8,172.9,0.25/0.1/0.4,0.7,,4.5,0.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,159,ARTINX,南方科技大学,Dart,10,0.0,0.0,0.0/0.0/0.0,0.0,,281.3,0.0,0,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,159,ARTINX,南方科技大学,Radar,11,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,279.6,68.1,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,179,华南虎,华南理工大学,Infantry,3,24.6,527.8,1.1/1.8/1.7,1.5,0.0,31.1,1.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,179,华南虎,华南理工大学,Hero,1,34.4,0.0,0.2/0.75/0.15,0.3,,2927.3,0.2,34.4,5.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,179,华南虎,华南理工大学,Sapper,2,0.0,0.0,0.0/0.65/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,524.7,16.2,2.6,0.0
2025,2025RMUC,RMUC,南部赛区,179,华南虎,华南理工大学,Airplane,6,17.0,1251.2,1.05/0.0/1.2,2.3,,858.0,1.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,741
2025,2025RMUC,RMUC,南部赛区,179,华南虎,华南理工大学,Guard,7,12.3,376.2,0.55/0.2/0.85,1.2,,39.1,0.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,179,华南虎,华南理工大学,Dart,10,0.0,0.0,0.15/0.0/0.0,0.2,,1352.6,0.2,0,0,0,39,5,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,179,华南虎,华南理工大学,Radar,11,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,316.2,165.2,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,26,RobotPilots,深圳大学,Infantry,3,25.3,353.3,0.7/1.2/0.8,1.1,0.0,8.3,0.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,26,RobotPilots,深圳大学,Hero,1,54.1,0.0,0.21052631578947367/0.8421052631578947/0.42105263157894735,0.4,,4539.5,0.2,54.1,7.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,26,RobotPilots,深圳大学,Sapper,2,0.0,0.0,0.0/0.21052631578947367/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,476.42,26.7,2.8,0.0
2025,2025RMUC,RMUC,南部赛区,26,RobotPilots,深圳大学,Airplane,6,5.0,522.6,0.8421052631578947/0.05263157894736842/1.5789473684210527,2.3,,125.9,0.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1192
2025,2025RMUC,RMUC,南部赛区,26,RobotPilots,深圳大学,Guard,7,7.6,164.2,0.42105263157894735/0.3157894736842105/0.5263157894736842,0.9,,12.6,0.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,26,RobotPilots,深圳大学,Dart,10,0.0,0.0,0.0/0.0/0.0,0.0,,65.8,0.0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,26,RobotPilots,深圳大学,Radar,11,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,267.0,93.5,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,164,风暴,华北科技学院,Infantry,3,22.4,475.9,1.2/0.8/1.1,1.7,0.0,6.2,1.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,164,风暴,华北科技学院,Hero,1,28.0,0.0,0.0/1.5294117647058822/0.058823529411764705,0.1,,1793.1,0.0,28.0,3.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,164,风暴,华北科技学院,Sapper,2,0.0,0.0,0.0/0.5294117647058824/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,548.94,39.3,3.0,0.0
2025,2025RMUC,RMUC,南部赛区,164,风暴,华北科技学院,Airplane,6,12.2,1373.8,1.8823529411764706/0.0/2.2941176470588234,4.2,,594.2,1.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1177
2025,2025RMUC,RMUC,南部赛区,164,风暴,华北科技学院,Guard,7,9.4,203.9,0.4117647058823529/0.17647058823529413/0.29411764705882354,0.6,,0.0,0.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
