season,event_code,league,zone_name,group_name,group_order,college_name,team_name,w_d_l,wins,opponent_points,avg_base_hp_diff,avg_outpost_hp_diff,avg_team_damage
2025,2025RMUC,RMUC,南部赛区,A组,1,中国石油大学（华东）,RPS,3/0/0,3,4,3212,113,8456
2025,2025RMUC,RMUC,南部赛区,A组,2,广东工业大学,DynamicX,3/0/0,3,-2,3650,156,7549
2025,2025RMUC,RMUC,南部赛区,A组,3,华南理工大学,华南虎,3/0/1,3,6,1922,138,7423
2025,2025RMUC,RMUC,南部赛区,A组,4,北方工业大学,DreamTeam,3/0/1,3,-2,-365,260,4121
2025,2025RMUC,RMUC,南部赛区,A组,5,华北科技学院,风暴,3/0/1,3,-3,620,99,5928
2025,2025RMUC,RMUC,南部赛区,A组,6,桂林信息科技学院,GIRT,3/0/2,3,9,828,0,6529
2025,2025RMUC,RMUC,南部赛区,A组,8,厦门大学嘉庚学院,TCR,3/0/2,3,-6,-229,-4,3393
2025,2025RMUC,RMUC,南部赛区,A组,9,广州城市理工学院,野狼,2/0/3,2,4,-1585,-59,3770
2025,2025RMUC,RMUC,南部赛区,A组,10,桂林电子科技大学,Evolution,2/0/3,2,0,-883,88,4059
2025,2025RMUC,RMUC,南部赛区,A组,11,仲恺农业工程学院,奇点,2/0/3,2,-1,-1104,113,4255
2025,2025RMUC,RMUC,南部赛区,A组,12,桂林理工大学,群星,1/0/3,1,1,-1285,-309,2658
2025,2025RMUC,RMUC,南部赛区,A组,14,深圳技术大学,悍匠,1/0/3,1,-12,-1234,0,3335
2025,2025RMUC,RMUC,南部赛区,A组,16,北京信息科技大学,星辰,0/0/3,0,-4,-296,-24,2279
2025,2025RMUC,RMUC,南部赛区,B组,1,太原理工大学,TRoMaC,3/0/0,3,11,2354,142,7226
2025,2025RMUC,RMUC,南部赛区,B组,2,哈尔滨工业大学（深圳）,南工骁鹰,3/0/0,3,-9,2317,417,5880
2025,2025RMUC,RMUC,南部赛区,B组,3,华南农业大学,Taurus,3/0/1,3,9,2584,105,8364
2025,2025RMUC,RMUC,南部赛区,B组,4,南方科技大学,ARTINX,3/0/1,3,6,1040,29,6277
2025,2025RMUC,RMUC,南部赛区,B组,5,深圳大学,RobotPilots,3/0/1,3,1,2231,0,7583
2025,2025RMUC,RMUC,南部赛区,B组,6,五邑大学,IMCA,3/0/2,3,1,1157,37,6265
2025,2025RMUC,RMUC,南部赛区,B组,7,电子科技大学中山学院,RoboBraver,3/0/2,3,-2,1627,150,6487
2025,2025RMUC,RMUC,南部赛区,B组,8,北京理工大学（珠海）,毅恒,3/0/2,3,-10,-891,-18,3470
2025,2025RMUC,RMUC,南部赛区,B组,9,东莞理工学院,ACE,2/0/3,2,11,-2029,72,4158
2025,2025RMUC,RMUC,南部赛区,B组,10,东北大学秦皇岛分校,征龙凌沧,2/0/3,2,-2,-971,0,4266
2025,2025RMUC,RMUC,南部赛区,B组,11,福建理工大学,苍侠,2/0/3,2,-4,-737,108,4394
2025,2025RMUC,RMUC,南部赛区,B组,12,广西大学,ROBOTZ,1/0/3,1,5,-2047,-302,2770
2025,2025RMUC,RMUC,南部赛区,B组,13,香港科技大学（广州）,PnX,1/0/3,1,-1,-1625,-43,3066
