team_key,school_key,college_name,team_name,shape_rank,preferred_region,admitted_region,seed_rank_in_region,seed_tier,ranking_source,ranking_global_rank,ranking_score
复旦大学::星云EGA,复旦大学,复旦大学,星云EGA,49,北部赛区,北部赛区,32,unseeded,1884,220,3.125
成都信息工程大学::风信子,成都信息工程大学,成都信息工程大学,风信子,50,北部赛区,北部赛区,24,unseeded,1884,82,7.775
长沙理工大学::云嵌,长沙理工大学,长沙理工大学,云嵌,51,南部赛区,南部赛区,25,unseeded,1884,105,5.975
哈尔滨工程大学::创梦之翼,哈尔滨工程大学,哈尔滨工程大学,创梦之翼,52,北部赛区,北部赛区,8,tier1,1884,25,14.78
山东科技大学::SmartRobot,山东科技大学,山东科技大学,SmartRobot,53,东部赛区,东部赛区,6,tier1,1884,24,14.8
国防科技大学::军临,国防科技大学,国防科技大学,军临,54,南部赛区,南部赛区,15,tier2,1884,49,10.56
杭州电子科技大学::PHOENIX,杭州电子科技大学,杭州电子科技大学,PHOENIX,55,东部赛区,东部赛区,30,unseeded,1884,163,4.48
吉林大学::TARS Go,吉林大学,吉林大学,TARS Go,56,北部赛区,北部赛区,7,tier1,1884,23,14.9
广西大学::ROBOTZ,广西大学,广西大学,ROBOTZ,57,东部赛区,东部赛区,28,unseeded,1884,120,5.425
桂林理工大学::群星,桂林理工大学,桂林理工大学,群星,58,南部赛区,南部赛区,19,unseeded,1884,69,8.25
深圳技术大学::悍匠,深圳技术大学,深圳技术大学,悍匠,59,南部赛区,南部赛区,21,unseeded,1884,79,7.85
广州航海学院::ICBK破冰船,广州航海学院,广州航海学院,ICBK破冰船,60,南部赛区,南部赛区,27,unseeded,1884,152,4.65
中北大学::606,中北大学,中北大学,606,61,东部赛区,东部赛区,16,tier2,1884,57,8.665
南昌大学::Passion,南昌大学,南昌大学,Passion,62,东部赛区,南部赛区,9,tier2,1884,21,15.7
天津大学::北洋机甲,天津大学,天津大学,北洋机甲,63,北部赛区,北部赛区,15,tier2,1884,46,10.86
上海大学::SRM,上海大学,上海大学,SRM,64,东部赛区,东部赛区,31,unseeded,1884,191,3.975
成都大学::Ultra,成都大学,成都大学,Ultra,65,东部赛区,东部赛区,22,unseeded,1884,68,8.265
齐鲁工业大学::Adam,齐鲁工业大学,齐鲁工业大学,Adam,66,东部赛区,东部赛区,15,tier2,1884,48,10.615
西安电子科技大学::IRobot,西安电子科技大学,西安电子科技大学,IRobot,67,北部赛区,北部赛区,10,tier2,1884,35,12.965
桂林信息科技学院::GIRT,桂林信息科技学院,桂林信息科技学院,GIRT,68,南部赛区,南部赛区,14,tier2,1884,34,12.975
上海工程技术大学::木鸢Birdiebot,上海工程技术大学,上海工程技术大学,木鸢Birdiebot,69,东部赛区,东部赛区,9,tier2,1884,31,13.565
厦门大学::RCS,厦门大学,厦门大学,RCS,70,南部赛区,南部赛区,32,unseeded,1884,193,3.9
湘潭大学::逐曦,湘潭大学,湘潭大学,逐曦,71,南部赛区,南部赛区,22,unseeded,1884,92,6.85
香港科技大学::ENTERPRIZE,香港科技大学,香港科技大学,ENTERPRIZE,72,北部赛区,北部赛区,18,unseeded,1884,55,9.25
四川大学::火锅,四川大学,四川大学,火锅,73,北部赛区,北部赛区,16,tier2,1884,50,9.85
厦门大学嘉庚学院::TCR,厦门大学嘉庚学院,厦门大学嘉庚学院,TCR,74,南部赛区,南部赛区,17,unseeded,1884,56,9.235
青岛大学::未来,青岛大学,青岛大学,未来,75,东部赛区,东部赛区,26,unseeded,1884,90,7.1
中国石油大学（北京）::SPR,中国石油大学（北京）,中国石油大学（北京）,SPR,76,东部赛区,东部赛区,12,tier2,1884,39,12.17
南京航空航天大学金城学院::Born of Fire,南京航空航天大学金城学院,南京航空航天大学金城学院,Born of Fire,77,东部赛区,东部赛区,7,tier1,1884,26,14.6
华中科技大学::狼牙,华中科技大学,华中科技大学,狼牙,78,东部赛区,南部赛区,13,tier2,1884,33,13.34
西交利物浦大学::GMaster,西交利物浦大学,西交利物浦大学,GMaster,79,南部赛区,南部赛区,23,unseeded,1884,96,6.28
内蒙古科技大学::雷霆,内蒙古科技大学,内蒙古科技大学,雷霆,80,北部赛区,北部赛区,29,unseeded,1884,118,5.575
华南师范大学::PIONEER,华南师范大学,华南师范大学,PIONEER,81,北部赛区,北部赛区,28,unseeded,1884,114,5.6
辽宁石油化工大学::TCN,辽宁石油化工大学,辽宁石油化工大学,TCN,82,北部赛区,北部赛区,31,unseeded,1884,134,5.025
南京理工大学江阴校区::Combat,南京理工大学江阴校区,南京理工大学江阴校区,Combat,83,东部赛区,东部赛区,29,unseeded,1884,128,5.25
