team_key,school_key,college_name,team_name,shape_rank,preferred_region,admitted_region,seed_rank_in_region,seed_tier,ranking_source,ranking_global_rank,ranking_score,rank_score_2024_damped_component,rank_score_2025_damped_component,z_25game,robot_stage_count,robot_stage_reliability,z_robot25_raw_unshrunk,robot_raw_score,z_robot25_raw,z_26rmul_raw,z_26rmul,rmul_reliability,z_form,z_hist,tilde_z_hist,n_matches_2024_rmuc,n_matches_2025_rmuc,n_matches_2026_rmul,n_eff,n_eff_history,H,prior_score,prior_mu,long_term_mu,history_mu,history_weight,recent_form_mu,recent_form_mu_calibrated,recent_anchor_mu,recent_momentum,recent_level_gap,level_adjustment,momentum_adjustment,shape_adjustment,level_weight,momentum_weight,recent_weight,recent_reliability,recent_adjustment,peer_match_count,peer_consistency_adjustment,new_school_compensation,old_history_decay,recent_gap,level_gap,history_mu_start_2024,history_mu_end_2024,history_mu_start_2025,history_mu_end_2025,history_mu_start_2026_rmul,history_mu_end_2026_rmul,recent_form_mu_start_2025,recent_form_mu_end_2025,recent_form_mu_start_2026_rmul,recent_form_mu_end_2026_rmul,coverage_2025,effective_scale_2024,effective_rho_2024_to_2025,effective_rho_2025_to_2026,group_summary_2024_damped_component,evidence_mu,evidence_weight,disagreement_mu,rating_model_version,mu0,sigma0
北京理工大学::追梦,北京理工大学,北京理工大学,追梦,11,北部赛区,北部赛区,12,tier2,1884,43,11.3,0.333786,1.055475,2.528471,1,0.632456,-0.138598,-0.087657,-0.309444,2.436742,1.263501,0.518521,1.224459,0.801174,3.0,14,4,7,9.95,9.95,0.801174,1.224459,1597.956699,1605.408407,1605.408407,0.76834,1612.819587,1612.819587,1529.589437,83.23015,7.41118,1.263128,31.69994,6.0,0.170435,0.380871,0.380871,0.760886,32.963067,7,-0.469326,0.0,0.0,83.23015,7.41118,1507.593642,1544.859791,1563.93128,1539.385299,1574.249059,1605.408407,1554.14978,1529.589437,1559.60634,1612.819587,0.707107,22.75,0.2352,0.66468,0.347765,1605.408407,0.76834,98.562364,dynamic_school_elo_v4_balance_adjusted,1643.902149,61.369225
华南理工大学::华南虎,华南理工大学,华南理工大学,华南虎,12,南部赛区,南部赛区,2,tier1,1884,2,23.3,1.05,1.2,3.0,2,0.755929,0.795922,0.601661,1.419131,-0.818637,-0.376262,0.459619,1.1711,2.053825,3.0,15,17,4,22.15,22.15,2.053825,1.1711,1593.688028,1742.78473,1742.78473,0.880716,1725.263874,1725.263874,1678.185021,47.078852,-17.520856,-3.049304,18.270221,6.0,0.174039,0.388077,0.388077,0.850963,15.220918,20,1.591471,0.0,1.287617,47.078852,17.520856,1523.8875,1592.863275,1584.623706,1663.180392,1761.239548,1742.78473,1564.751567,1678.185021,1751.276119,1725.263874,0.899735,22.75,0.2352,0.845751,0.712464,1742.78473,0.880716,216.575497,dynamic_school_elo_v4_balance_adjusted,1764.309501,52.767153
太原工业学院::火线,太原工业学院,太原工业学院,火线,13,北部赛区,北部赛区,6,tier1,1884,17,17.0,0.366646,1.2,3.0,2,0.755929,0.602339,0.455326,1.052172,0.699692,0.362805,0.518521,1.120883,2.032458,3.0,12,13,7,18.45,18.45,2.032458,1.120883,1589.670641,1719.375198,1719.375198,0.86014,1712.412037,1712.412037,1620.295363,92.116674,-6.963161,-1.21024,35.70556,6.0,0.173806,0.387612,0.387612,0.845154,34.495319,14,1.12887,0.0,0.484976,92.116674,6.963161,1508.341202,1532.4865,1567.847313,1618.943411,1719.719675,1719.375198,1561.847099,1620.295363,1701.473023,1712.412037,0.874475,22.75,0.2352,0.822006,0.322195,1719.375198,0.86014,230.398239,dynamic_school_elo_v4_balance_adjusted,1760.514411,57.639872
武汉工程大学::Nautilus,武汉工程大学,武汉工程大学,Nautilus,14,东部赛区,南部赛区,12,tier2,1884,29,14.3,0.680544,0.800091,3.0,4,0.852803,0.581184,0.495635,1.153254,2.950969,1.530138,0.518521,1.073344,1.730828,3.0,3,17,7,20.2,20.2,1.730828,1.073344,1585.867505,1697.91763,1697.91763,0.87069,1714.282811,1714.282811,1570.586023,143.696788,16.365182,2.858032,55.938578,6.0,0.174641,0.389282,0.389282,0.866025,58.79661,19,0.244372,0.0,0.0,143.696788,16.365182,1515.482373,1504.202719,1540.929767,1569.722652,1662.817705,1697.91763,1538.995876,1570.586023,1648.554932,1714.282811,0.899735,22.75,0.2352,0.845751,0.184377,1697.91763,0.87069,272.356467,dynamic_school_elo_v4_balance_adjusted,1762.958611,58.488341
仲恺农业工程学院::奇点,仲恺农业工程学院,仲恺农业工程学院,奇点,15,南部赛区,南部赛区,24,unseeded,1884,100,6.165,0.232613,-0.076398,0.046039,1,0.632456,0.174181,0.110162,0.186619,2.146898,1.040132,0.484481,1.028114,0.031361,1.516692,2,5,5,7.25,7.25,0.031361,1.028114,1582.249137,1534.418937,1534.418937,0.707317,1542.244485,1542.244485,1494.606512,47.637973,7.825548,1.328889,18.084731,7.420168,0.169814,0.379628,0.379628,0.745356,19.413621,2,4.059022,0.0,0.0,47.637973,7.825548,1505.291942,1526.697656,1507.194008,1506.762968,1506.620023,1534.418937,1494.989163,1494.606512,1496.085106,1542.244485,0.745356,22.75,0.2352,0.700635,0.698849,1534.418937,0.707317,107.352743,dynamic_school_elo_v4_balance_adjusted,1565.311748,61.123735
华东理工大学::起源,华东理工大学,华东理工大学,起源,16,东部赛区,东部赛区,23,unseeded,1884,71,8.215,0.0,-0.010693,3.0,3,0.816497,0.902545,0.736925,1.758327,2.179619,1.130177,0.518521,0.984896,1.570671,3.0,6,16,7,19.95,19.95,1.570671,0.984896,1578.791653,1662.441392,1662.441392,0.869281,1683.537309,1683.537309,1566.870811,116.666499,21.095918,3.680273,45.372598,6.0,0.174454,0.388909,0.388909,0.861357,49.052871,19,0.449079,0.0,0.0,116.666499,21.095918,1500.0,1484.550954,1496.48072,1548.683764,1635.171668,1662.441392,1494.086643,1566.870811,1636.581616,1683.537309,0.894427,22.75,0.2352,0.840762,0.095737,1662.441392,0.869281,221.861234,dynamic_school_elo_v4_balance_adjusted,1717.943342,58.854443
长安大学::VGD,长安大学,长安大学,VGD,17,北部赛区,北部赛区,20,unseeded,1884,72,8.17,0.255961,0.402138,-0.783364,1,0.632456,-0.664117,-0.420025,-1.142909,1.097203,0.531575,0.484481,0.943443,-0.611697,-1.164889,2,4,5,6.25,6.25,-0.611697,0.943443,1575.475411,1467.923881,1467.923881,0.675676,1474.507166,1474.507166,1482.918389,-8.411223,6.583285,1.113262,-3.181197,6.961453,0.169104,0.378209,0.378209,0.727607,-2.067935,4,-5.509039,0.0,0.0,8.411223,6.583285,1505.823104,1484.238955,1513.331413,1485.02529,1453.344794,1467.923881,1513.170384,1482.918389,1453.893996,1474.507166,0.707107,22.75,0.2352,0.66468,-0.367431,1467.923881,0.675676,128.055077,dynamic_school_elo_v4_balance_adjusted,1467.30836,58.629036
同济大学::SuperPower,同济大学,同济大学,SuperPower,18,北部赛区,北部赛区,9,tier2,1884,27,14.4,0.201482,0.355028,3.0,2,0.755929,1.190162,0.899678,2.166457,1.158759,0.561397,0.484481,0.903551,2.07146,3.0,3,15,5,17.5,17.5,2.07146,0.903551,1572.284045,1720.843553,1720.843553,0.853659,1722.260142,1722.260142,1613.897448,108.362693,1.416589,0.246212,42.002717,5.700587,0.173806,0.387612,0.387612,0.845154,42.248929,13,1.261635,0.0,0.0,108.362693,1.416589,1504.583727,1501.481916,1517.353253,1603.6289,1710.83969,1720.843553,1513.132378,1613.897448,1700.148889,1722.260142,0.888523,22.75,0.2352,0.835212,-0.027066,1720.843553,0.853659,259.600425,dynamic_school_elo_v4_balance_adjusted,1770.054704,58.355708
南京理工大学::Alliance,南京理工大学,南京理工大学,Alliance,19,东部赛区,东部赛区,14,tier2,1884,42,11.415,0.775664,0.862077,2.490392,1,0.632456,0.179525,0.113541,0.195093,1.133529,0.520992,0.459619,0.865047,1.267094,3.0,10,8,4,11.9,11.9,1.267094,0.865047,1569.203761,1612.023682,1612.023682,0.798658,1609.431726,1609.431726,1529.052818,80.378908,-2.591956,-0.443183,30.702149,6.0,0.170984,0.381968,0.381968,0.774597,30.258967,9,-1.180809,0.0,0.154771,80.378908,2.591956,1517.646364,1488.869434,1539.110812,1531.163658,1599.943959,1612.023682,1541.011401,1529.052818,1587.934504,1609.431726,0.816497,22.75,0.2352,0.767507,0.000632,1612.023682,0.798658,127.126366,dynamic_school_elo_v4_balance_adjusted,1646.947069,59.267002
中国科学技术大学::RoboWalker,中国科学技术大学,中国科学技术大学,RoboWalker,20,东部赛区,东部赛区,5,tier1,1884,19,16.86,0.081285,0.502395,3.0,2,0.755929,0.985291,0.74481,1.7781,2.338349,1.17733,0.503488,0.827785,2.012041,3.0,11,18,6,22.85,22.85,2.012041,0.827785,1566.222809,1751.879244,1751.879244,0.883946,1773.116038,1773.116038,1643.650359,129.465679,21.236794,3.708815,50.398663,5.065357,0.174641,0.389282,0.389282,0.866025,54.107478,20,1.962726,0.0,0.0,129.465679,21.236794,1501.849229,1514.540165,1528.454786,1624.06672,1726.211686,1751.879244,1522.187342,1643.650359,1722.297358,1773.116038,0.904534,22.75,0.2352,0.850262,0.108946,1751.879244,0.883946,338.321634,dynamic_school_elo_v4_balance_adjusted,1813.014805,57.974234
