rank,college_name,english_name,score
123,武汉理工大学,Wuhan University of Technology,5.35
126,江西理工大学,Jiangxi University of Science and Technology,5.275
126,上海电力大学,Shanghai University of Electric Power,5.275
128,重庆理工大学,Chongqing University of Technology,5.25
128,广州铁路职业技术学院,Guangzhou Railway Polytechnic,5.25
128,南京理工大学江阴校区,Nanjing University of Science and Technology Jiangyin Campus,5.25
131,同济大学浙江学院,Zhejiang College of Tongji University,5.15
132,中国人民警察大学,Chinese People's Police University,5.109
133,河南科技大学,Henan University of Science and Technology,5.1
134,安徽理工大学,Anhui University of Science and Technology,5.025
134,大连大学,Dalian University,5.025
134,集美大学,Jimei University,5.025
134,辽宁石油化工大学,Liaoning University of Petroleum and Chemical Technology,5.025
134,西南石油大学南充校区,Southwest Petroleum University Nanchong Campus,5.025
134,新疆工程学院,Xinjiang Institute of Technology,5.025
140,江苏航空职业技术学院,Jiangsu Aviation Vocational and Technical College,4.975
140,中国科学院大学,University of Chinese Academy of Sciences,4.975
142,河北师范大学,Hebei Normal University,4.95
143,北京邮电大学,Beijing University of Posts and Telecommunications,4.875
143,海南大学,Hainan University,4.875
143,江苏开放大学,Jiangsu Open University,4.875
143,宁波诺丁汉大学,University of Nottingham Ningbo China,4.875
143,南通理工学院,Nantong Institute of Technology,4.875
143,内蒙古师范大学,Inner Mongolia Normal University,4.875
149,西北农林科技大学,Northwest A&F University,4.768
150,南昌航空大学,Nanchang Hangkong University,4.75
151,闽江学院,Minjiang College,4.725
152,广州航海学院,Guangzhou Maritime University,4.65
152,贵州师范大学,Guizhou Normal University,4.65
152,陆军装甲兵学院,Army Academy of Armoured Forces,4.65
152,武汉科技大学,Wuhan University of Science and Technology,4.65
156,内蒙古大学,Inner Mongolia University,4.634
157,深圳北理莫斯科大学,Shenzhen MSU-BIT University,4.625
158,常熟理工学院,Changshu Institute of Technology,4.5
158,济宁学院,Jining College,4.5
158,济南大学,Jinan Universty,4.5
158,山东大学（威海）,"Shandong University , Weihai",4.5
158,浙江大学伊利诺伊大学厄巴纳香槟校区联合学院,Zhejiang University-University of Illinois Urbana-Champaign,4.5
163,杭州电子科技大学,Hangzhou University of Electronic Science and Technology,4.48
164,宜宾学院,Yibin University,4.425
165,广州南方学院,Nanfang College Guangzhou,4.4
165,贵阳人文科技学院,The College of Humanities and Science of Guizhou Minzu University,4.4
165,哈尔滨理工大学,Harbin University of Science and Technology,4.4
165,南昌理工学院,Nanchang University of Technology,4.4
165,上海理工大学,University of Shanghai for Science and Technology,4.4
165,石家庄铁道大学,Shijiazhuang Railway University,4.4
165,天津工业大学,Tiangong University,4.4
172,南通大学,Nantong University,4.35
172,郑州大学,Zhengzhou University,4.35
174,广东交通职业技术学院,Guangdong Transportation Vocational and Technical College,4.25
174,三江学院,Sanjiang University,4.25
174,山东石油化工学院,Shandong Institute of Petroleum and Chemical Technology,4.25
