college_name,team_name_2026,preferred_region,admitted_region,seed_rank_in_region,seed_tier,ranking_source,ranking_global_rank,ranking_score
北方工业大学,DreamTeam,北部赛区,北部赛区,14,tier2,1884,45,11.0
天津大学,北洋机甲,北部赛区,北部赛区,15,tier2,1884,46,10.86
四川大学,火锅,北部赛区,北部赛区,16,tier2,1884,50,9.85
沈阳理工大学,Ambition,北部赛区,北部赛区,17,unseeded,1884,51,9.505
香港科技大学,ENTERPRIZE,北部赛区,北部赛区,18,unseeded,1884,55,9.25
东北大学秦皇岛分校,征龙凌沧,北部赛区,北部赛区,19,unseeded,1884,63,8.515
长安大学,VGD,北部赛区,北部赛区,20,unseeded,1884,72,8.17
北京信息科技大学,星辰,北部赛区,北部赛区,21,unseeded,1884,74,8.07
山东理工大学,齐奇,北部赛区,北部赛区,22,unseeded,1884,77,7.9
河北科技大学,Actor&Thinker,北部赛区,北部赛区,23,unseeded,1884,79,7.85
成都信息工程大学,风信子,北部赛区,北部赛区,24,unseeded,1884,82,7.775
华北理工大学,Horizon,北部赛区,北部赛区,25,unseeded,1884,84,7.6
香港大学,HerKules,北部赛区,北部赛区,26,unseeded,1884,88,7.275
常州大学,Climber,北部赛区,北部赛区,27,unseeded,1884,99,6.225
华南师范大学,PIONEER,北部赛区,北部赛区,28,unseeded,1884,114,5.6
内蒙古科技大学,雷霆,北部赛区,北部赛区,29,unseeded,1884,118,5.575
香港科技大学（广州）,PnX,北部赛区,北部赛区,30,unseeded,1884,120,5.425
辽宁石油化工大学,TCN,北部赛区,北部赛区,31,unseeded,1884,134,5.025
复旦大学,星云EGA,北部赛区,北部赛区,32,unseeded,1884,220,3.125
