team_key,school_key,college_name,team_name,preferred_region,admitted_region,seed_rank_in_region,seed_tier,ranking_source,ranking_global_rank,ranking_score,shape_rank,program_base_theta,prior_delta_theta,regional_pre_theta,regional_pre_rating,pre_signal_sd_theta,pre_signal_sd_rating,rmuc_history_strength,beta_perf,mu0,sigma0
浙江大学::Hello World,浙江大学,浙江大学,Hello World,东部赛区,东部赛区,1,tier1,1884,4,21.1,42,2.1583558988286446,0.38025196915618836,2.538607867984833,1842.7120621779525,0.2919926764169434,39.41901131628735,0.8699309045599775,1.8179707527160645,1842.7120621779525,39.41901131628735
中国石油大学（华东）::RPS,中国石油大学（华东）,中国石油大学（华东）,RPS,东部赛区,东部赛区,2,tier1,1884,11,18.72,10,2.2954026211876863,0.3845228738862005,2.6799254950738867,1861.7899418349748,0.2919926764169434,39.41901131628735,0.8733540363779754,1.8179707527160645,1861.7899418349748,39.41901131628735
南方科技大学::ARTINX,南方科技大学,南方科技大学,ARTINX,东部赛区,东部赛区,3,tier1,1884,12,18.4,94,1.3606234051983621,-0.37320838298332876,0.9874150222150333,1633.3010279990294,0.2919926764169434,39.41901131628735,0.8881159438042086,1.8179707527160645,1633.3010279990294,39.41901131628735
东南大学::3SE,东南大学,东南大学,3SE,东部赛区,东部赛区,4,tier1,1884,14,17.94,40,1.1913776796920585,0.05663902993460736,1.2480167096266659,1668.4822557996,0.3649908455211792,49.273764145359195,0.8855046859507675,1.8179707527160645,1668.4822557996,49.273764145359195
中国科学技术大学::RoboWalker,中国科学技术大学,中国科学技术大学,RoboWalker,东部赛区,东部赛区,5,tier1,1884,19,16.86,20,2.5972116012314657,0.3634286729972862,2.960640274228752,1899.6864370208814,0.2919926764169434,39.41901131628735,0.8950592054129894,1.8179707527160645,1899.6864370208814,39.41901131628735
山东科技大学::SmartRobot,山东科技大学,山东科技大学,SmartRobot,东部赛区,东部赛区,6,tier1,1884,24,14.8,53,0.9023169932862586,-0.17706241861747465,0.725254574668784,1597.9093675802858,0.2919926764169434,39.41901131628735,0.847520752124032,1.8179707527160645,1597.9093675802858,39.41901131628735
南京航空航天大学金城学院::Born of Fire,南京航空航天大学金城学院,南京航空航天大学金城学院,Born of Fire,东部赛区,东部赛区,7,tier1,1884,26,14.6,77,1.8560584330715615,0.2827154625542477,2.138773895625809,1788.7344759094842,0.2919926764169434,39.41901131628735,0.8900392595380568,1.8179707527160645,1788.7344759094842,39.41901131628735
中国矿业大学::CUBOT,中国矿业大学,中国矿业大学,CUBOT,东部赛区,东部赛区,8,tier1,1884,30,13.6,85,0.5172718900343187,-0.3277456366556275,0.18952625337869122,1525.5860442061232,0.2919926764169434,39.41901131628735,0.8089101585217061,1.8179707527160645,1525.5860442061232,39.41901131628735
上海工程技术大学::木鸢Birdiebot,上海工程技术大学,上海工程技术大学,木鸢Birdiebot,东部赛区,东部赛区,9,tier2,1884,31,13.565,69,0.04106233581292581,-0.35792217777140045,-0.31685984195847466,1457.2239213356058,0.2919926764169434,39.41901131628735,0.6254031809378238,1.8179707527160645,1457.2239213356058,39.41901131628735
哈尔滨工业大学（深圳）::南工骁鹰,哈尔滨工业大学（深圳）,哈尔滨工业大学（深圳）,南工骁鹰,东部赛区,东部赛区,10,tier2,1884,32,13.535,7,0.5839903408175673,-0.04240479598033556,0.5415855448372318,1573.1140485530264,0.2919926764169434,39.41901131628735,0.8934435079502622,1.8179707527160645,1573.1140485530264,39.41901131628735
首都师范大学::PIE,首都师范大学,首都师范大学,PIE,东部赛区,东部赛区,11,tier2,1884,38,12.235,38,0.3465291259073533,0.05521012679285636,0.40173925270020966,1554.2347991145284,0.2919926764169434,39.41901131628735,0.8171100549452982,1.8179707527160645,1554.2347991145284,39.41901131628735
中国石油大学（北京）::SPR,中国石油大学（北京）,中国石油大学（北京）,SPR,东部赛区,东部赛区,12,tier2,1884,39,12.17,76,0.5226350467654196,-0.29264449497085016,0.22999055179456945,1531.048724492267,0.2919926764169434,39.41901131628735,0.8438970771489702,1.8179707527160645,1531.048724492267,39.41901131628735
