season,event_code,league,zone_name,stage_bucket,group_name,match_id,match_type,order_number,plan_game_count,plan_started_at,match_date,result,red_team_id,red_team_name,red_college_name,red_side_score,red_side_win_game_count,blue_team_id,blue_team_name,blue_college_name,blue_side_score,blue_side_win_game_count,winner_team_id,winner_team_name,winner_college_name,winner_side
2026,2026RMUL,RMUL,华南站,knockout,,27433,KNOCKOUT,38,3,2026-03-22T05:25:00Z,2026-03-22,BLUE,1497,ICBK破冰船,广州航海学院,0,0,1513,野狼,广州城市理工学院,0,2,1513,野狼,广州城市理工学院,blue
2026,2026RMUL,RMUL,华南站,knockout,,27434,KNOCKOUT,39,3,2026-03-22T06:50:00Z,2026-03-22,RED,124,Taurus,华南农业大学,0,2,1497,ICBK破冰船,广州航海学院,0,0,124,Taurus,华南农业大学,red
2026,2026RMUL,RMUL,华南站,knockout,,27435,KNOCKOUT,40,3,2026-03-22T07:15:00Z,2026-03-22,RED,47,ACE,东莞理工学院,0,2,1513,野狼,广州城市理工学院,0,0,47,ACE,东莞理工学院,red
2026,2026RMUL,RMUL,山东站,group,A,27208,GROUP,1,2,2026-03-20T07:00:00Z,2026-03-20,TIE,165,北洋机甲,天津大学,1,1,739,齐奇,山东理工大学,1,1,,,,
2026,2026RMUL,RMUL,山东站,group,A,27220,GROUP,13,2,2026-03-20T12:00:00Z,2026-03-20,TIE,160,Actor&Thinker,河北科技大学,1,1,739,齐奇,山东理工大学,1,1,,,,
2026,2026RMUL,RMUL,山东站,group,A,27232,GROUP,25,2,2026-03-21T05:20:00Z,2026-03-21,BLUE,165,北洋机甲,天津大学,0,0,160,Actor&Thinker,河北科技大学,3,2,160,Actor&Thinker,河北科技大学,blue
2026,2026RMUL,RMUL,山东站,group,F,27229,GROUP,22,2,2026-03-21T03:20:00Z,2026-03-21,TIE,755,Adam,齐鲁工业大学,1,1,41,HERO,哈尔滨工业大学（威海）,1,1,,,,
2026,2026RMUL,RMUL,山东站,group,G,27242,GROUP,35,2,2026-03-21T08:40:00Z,2026-03-21,RED,672,PIE,首都师范大学,3,2,737,未来,青岛大学,0,0,672,PIE,首都师范大学,red
2026,2026RMUL,RMUL,山东站,knockout,,29479,KNOCKOUT,39,3,2026-03-21T11:50:00Z,2026-03-21,RED,132,追梦,北京理工大学,0,2,755,Adam,齐鲁工业大学,0,1,132,追梦,北京理工大学,red
2026,2026RMUL,RMUL,山东站,knockout,,29481,KNOCKOUT,41,3,2026-03-22T00:10:00Z,2026-03-22,RED,114,TRoMaC,太原理工大学,0,2,739,齐奇,山东理工大学,0,0,114,TRoMaC,太原理工大学,red
