season,event_code,league,zone_name,group_name,team_id,team_name,college_name,player_rank,player_score
2026,2026RMUL,RMUL,安徽站,A,683,WDR,合肥工业大学（宣城校区）,1,9
2026,2026RMUL,RMUL,安徽站,B,676,Climber,常州大学,2,3
2026,2026RMUL,RMUL,安徽站,C,682,RoboWalker,中国科学技术大学,1,6
2026,2026RMUL,RMUL,安徽站,D,133,ENTERPRIZE,香港科技大学,2,3
2026,2026RMUL,RMUL,安徽站,E,151,FYT,中南大学,1,9
2026,2026RMUL,RMUL,安徽站,E,1498,崇实,武汉科技大学,2,6
2026,2026RMUL,RMUL,安徽站,F,34,Artisans,安徽信息工程学院,3,1
2026,2026RMUL,RMUL,安徽站,G,53,狼牙,华中科技大学,1,4
2026,2026RMUL,RMUL,安徽站,H,703,苍穹,合肥工业大学,1,4
2026,2026RMUL,RMUL,华南站,A,453,DynamicX,广东工业大学,1,6
2026,2026RMUL,RMUL,华南站,B,179,华南虎,华南理工大学,2,1
2026,2026RMUL,RMUL,华南站,B,1531,毅恒,北京理工大学（珠海）,3,1
2026,2026RMUL,RMUL,华南站,B,1497,ICBK破冰船,广州航海学院,1,6
2026,2026RMUL,RMUL,华南站,C,729,南工骁鹰,哈尔滨工业大学（深圳）,2,4
2026,2026RMUL,RMUL,华南站,D,124,Taurus,华南农业大学,1,6
2026,2026RMUL,RMUL,华南站,E,159,ARTINX,南方科技大学,2,3
2026,2026RMUL,RMUL,华南站,F,26,RobotPilots,深圳大学,2,3
2026,2026RMUL,RMUL,华南站,F,1513,野狼,广州城市理工学院,1,6
2026,2026RMUL,RMUL,华南站,G,96,IMCA,五邑大学,1,6
2026,2026RMUL,RMUL,华南站,G,726,悍匠,深圳技术大学,2,3
2026,2026RMUL,RMUL,华南站,H,830,RoboBraver,电子科技大学中山学院,2,3
2026,2026RMUL,RMUL,华南站,H,47,ACE,东莞理工学院,1,6
2026,2026RMUL,RMUL,华南站,H,198,PIONEER,华南师范大学,3,0
2026,2026RMUL,RMUL,山东站,A,165,北洋机甲,天津大学,3,4
2026,2026RMUL,RMUL,山东站,A,160,Actor&Thinker,河北科技大学,1,7
2026,2026RMUL,RMUL,山东站,A,739,齐奇,山东理工大学,2,5
2026,2026RMUL,RMUL,山东站,B,114,TRoMaC,太原理工大学,1,6
2026,2026RMUL,RMUL,山东站,C,76,RPS,中国石油大学（华东）,1,9
2026,2026RMUL,RMUL,山东站,D,57,SmartRobot,山东科技大学,2,1
2026,2026RMUL,RMUL,山东站,E,132,追梦,北京理工大学,1,9
2026,2026RMUL,RMUL,山东站,F,41,HERO,哈尔滨工业大学（威海）,1,4
2026,2026RMUL,RMUL,山东站,F,755,Adam,齐鲁工业大学,2,4
2026,2026RMUL,RMUL,山东站,G,672,PIE,首都师范大学,2,6
2026,2026RMUL,RMUL,山东站,G,737,未来,青岛大学,3,3
2026,2026RMUL,RMUL,重庆站,A,116,WMJ,西北工业大学,1,9
2026,2026RMUL,RMUL,重庆站,A,2789,士继DREAMER,重庆理工大学,3,3
2026,2026RMUL,RMUL,重庆站,A,2195,ROBOTZ,广西大学,2,4
2026,2026RMUL,RMUL,重庆站,B,781,军临,国防科技大学,1,9
2026,2026RMUL,RMUL,重庆站,B,1527,云嵌,长沙理工大学,2,6
2026,2026RMUL,RMUL,重庆站,C,32,MA,南华大学,3,3
2026,2026RMUL,RMUL,重庆站,D,700,VGD,长安大学,1,5
2026,2026RMUL,RMUL,重庆站,E,71,IRobot,西安电子科技大学,1,9
2026,2026RMUL,RMUL,重庆站,F,698,笃行,西安交通大学,1,9
2026,2026RMUL,RMUL,重庆站,F,2189,逐曦,湘潭大学,4,1
2026,2026RMUL,RMUL,重庆站,G,2188,GIRT,桂林信息科技学院,2,4
2026,2026RMUL,RMUL,重庆站,H,38,Evolution,桂林电子科技大学,1,9
2026,2026RMUL,RMUL,东北站,A,42,DreamTeam,北方工业大学,1,9
2026,2026RMUL,RMUL,东北站,B,17,TDT,东北大学,1,9
2026,2026RMUL,RMUL,东北站,B,144,Horizon,华北理工大学,2,6
2026,2026RMUL,RMUL,东北站,C,3091,TARS Go,吉林大学,1,9
2026,2026RMUL,RMUL,东北站,D,29,火线,太原工业学院,1,5
2026,2026RMUL,RMUL,东北站,D,692,TCN,辽宁石油化工大学,2,5
2026,2026RMUL,RMUL,东北站,E,65,I Hiter,哈尔滨工业大学,3,3
2026,2026RMUL,RMUL,东北站,E,50,Ambition,沈阳理工大学,1,7
2026,2026RMUL,RMUL,东北站,F,8,创梦之翼,哈尔滨工程大学,2,6
2026,2026RMUL,RMUL,东北站,G,239,凌BUG,大连理工大学,1,9
2026,2026RMUL,RMUL,东北站,G,688,征龙凌沧,东北大学秦皇岛分校,2,6
2026,2026RMUL,RMUL,江苏站,A,4,Alliance,南京理工大学,1,9
2026,2026RMUL,RMUL,江苏站,A,93,GMaster,西交利物浦大学,3,3
2026,2026RMUL,RMUL,江苏站,B,28,CUBOT,中国矿业大学,2,6
2026,2026RMUL,RMUL,江苏站,B,3021,Aurora,江苏大学,4,1
2026,2026RMUL,RMUL,江苏站,C,245,3SE,东南大学,3,3
2026,2026RMUL,RMUL,江苏站,C,2752,珞珈狐,武汉大学,2,6
2026,2026RMUL,RMUL,江苏站,C,3059,SHARK,江南大学霞客湾校区,1,9
2026,2026RMUL,RMUL,江苏站,C,207,RCS,厦门大学,4,0
2026,2026RMUL,RMUL,江苏站,D,195,Hello World,浙江大学,1,6
2026,2026RMUL,RMUL,江苏站,D,2783,Combat,南京理工大学江阴校区,2,3
2026,2026RMUL,RMUL,江苏站,E,782,木鸢Birdiebot,上海工程技术大学,2,7
2026,2026RMUL,RMUL,江苏站,E,170,PFA,厦门理工学院,1,7
2026,2026RMUL,RMUL,江苏站,F,95,Passion,南昌大学,2,6
2026,2026RMUL,RMUL,江苏站,G,3110,PKA,福建师范大学,2,7
2026,2026RMUL,RMUL,江苏站,H,2774,苍侠,福建理工大学,1,4
2026,2026RMUL,RMUL,华北站,A,746,SPR,中国石油大学（北京）,1,7
2026,2026RMUL,RMUL,华北站,B,164,风暴,华北科技学院,1,9
2026,2026RMUL,RMUL,华北站,D,60,雷霆,内蒙古科技大学,2,6
2026,2026RMUL,RMUL,华北站,E,92,NewMaker,太原科技大学,1,9
2026,2026RMUL,RMUL,华北站,F,1501,星辰,北京信息科技大学,4,0
2026,2026RMUL,RMUL,华北站,H,679,606,中北大学,2,6
2026,2026RMUL,RMUL,上海站,A,145,TCR,厦门大学嘉庚学院,1,5
2026,2026RMUL,RMUL,上海站,A,786,PHOENIX,杭州电子科技大学,4,1
2026,2026RMUL,RMUL,上海站,C,148,交龙,上海交通大学,1,9
2026,2026RMUL,RMUL,上海站,D,2780,起源,华东理工大学,1,9
2026,2026RMUL,RMUL,上海站,D,66,SRM,上海大学,2,6
2026,2026RMUL,RMUL,上海站,E,141,SuperPower,同济大学,1,9
2026,2026RMUL,RMUL,上海站,G,240,Nautilus,武汉工程大学,1,7
2026,2026RMUL,RMUL,上海站,G,3117,星云EGA,复旦大学,2,7
2026,2026RMUL,RMUL,上海站,H,183,Born of Fire,南京航空航天大学金城学院,1,6
2026,2026RMUL,RMUL,四川站,A,1578,火锅,四川大学,2,4
2026,2026RMUL,RMUL,四川站,A,2758,PnX,香港科技大学（广州）,3,4
2026,2026RMUL,RMUL,四川站,B,178,群星,桂林理工大学,1,7
2026,2026RMUL,RMUL,四川站,C,840,Helios,西南交通大学,1,9
2026,2026RMUL,RMUL,四川站,D,839,风信子,成都信息工程大学,1,9
2026,2026RMUL,RMUL,四川站,F,841,Ultra,成都大学,2,7
2026,2026RMUL,RMUL,四川站,G,142,HerKules,香港大学,3,1
2026,2026RMUL,RMUL,四川站,G,2157,VANGUARD,华南师范大学（佛山校区）,2,6
2026,2026RMUL,RMUL,四川站,H,18,奇点,仲恺农业工程学院,1,9
